Stone,Column,Order,PID,Name,M/F,Birth date,Year of departure,Age at departure,Death date,Notes,Pioneer Database Link
10,Right,42,KWVC-N47,"Evans, Clara Hannah",F,1860-05-31,1862,2,9 September 1862,,https://history.churchofjesuschrist.org/chd/individual/clara-hannah-evans-1860
4,Right,35,KWVG-27T,"Evans, Henry William Joseph",M,1836-03-14,1853,17,29 July 1853,,https://history.churchofjesuschrist.org/chd/individual/henry-william-joseph-evans-1836
10,Right,43,KWVC-N7J,"Evans, John",M,1862-06-27,1862,infant,28 August 1862,,https://history.churchofjesuschrist.org/chd/individual/john-evans-jr-1862
12,Right,49,K2S1-66H,"Eynon, Dale Willard",M,1863-01-01,1863,infant,1863,,https://history.churchofjesuschrist.org/chd/individual/dale-willard-eynon-1863
1,Right,50,MWTJ-39R,"Farnham, Ruth ",F,1849-05-15,1849,infant,1 September 1849,,https://history.churchofjesuschrist.org/chd/individual/ruth-farnham-1849
5,Right,23,K26K-JV7,"Faulkner, Burke",M,1851-01-01,1855,4,9 July 1855,,https://history.churchofjesuschrist.org/chd/individual/burke-faulkner-1851
5,Right,24,K2YY-BDB,"Faulkner, John",M,1853-01-01,1855,2,27 June 1855,,https://history.churchofjesuschrist.org/chd/individual/john-faulkner-1853
5,Right,25,K2C9-279,"Faulkner, Stephen",M,1841-02-19,1855,14,7 July 1855,,https://history.churchofjesuschrist.org/chd/individual/stephen-faulkner-1841
4,Left,9,K2NZ-BHL,"Fechser, Emma",F,1853-12-28,1854,infant,24 June 1854,,https://history.churchofjesuschrist.org/chd/individual/emma-fechser-1853
9,Center,16,L5X6-XBV,"Fillmore, Sarah",F,1860-07-31,1860,infant,17 August 1860,,https://history.churchofjesuschrist.org/chd/individual/sarah-fillmore-1860
4,Left,10,LLMX-Y6G,"Fisher, Georgina",F,1846-08-17,1854,7,20 September 1854,,https://history.churchofjesuschrist.org/chd/individual/georgina-fisher-1846
13,Left,5,LHDD-6ML,"Flint, George Knighton",M,1861-05-16,1864,3,1864,"DID NOT DIE ON TRAIL. According to Family Search, he died in Box Elder County, Utah.",https://history.churchofjesuschrist.org/chd/individual/george-knighton-flint-1861
13,Left,6,KWVP-HQ7,"Folland, Nephi Aaron",M,1861-04-16,1864,3,25 August 1864,,https://history.churchofjesuschrist.org/chd/individual/nephi-aaron-folland-1861
1,Right,69,KLYC-DBM,"Ford, Jonathan ",M,1847-01-18,1850,3,1850,"May not have died on trail. Death date discrepency. FS shows a death date in May 1850. Database shows June 1850. If he died in May, then he did not die on the trail. The Aaron Johnson company left in June. With a death date of May, he shouldn't be represented in the database or on the stone. If a death date of May is ever confirmed, his profile will be deleted from the database. ",https://history.churchofjesuschrist.org/chd/individual/johnathan-ford-1847
4,Left,11,LCZM-K8P,"Ford, Sarah ""Sally""",F,1846-05-08,1854,8,25 August 1854,,https://history.churchofjesuschrist.org/chd/individual/sarah-sally-ford-1846
1,Left,1,LLMY-XFG,"Fordham, Mary Louisa",F,1848-12-01,1850,1,15 June 1850,DID NOT DIE ON TRAIL. Died before the company left Iowa. She has been removed from the database. ,Not in BioDB
5,Right,26,KZXR-1KM,"Foster, Orrin",M,1854-01-01,1855,1,September 1855,,https://history.churchofjesuschrist.org/chd/individual/orrin-foster-1854
12,Left,1,K19H-8MS,"Fowler, Kate",F,About 1862,1863,1,18 August 1863,,https://history.churchofjesuschrist.org/chd/individual/kate-fowler-1862
14,Right,39,MBGQ-TBV,"Frandsen, Carl Ephraim",M,About 1861,1866,5,21 August 1866,,https://history.churchofjesuschrist.org/chd/individual/carl-ephraim-frandsen-1861
14,Right,40,K8PM-J4N,"Fredriksen, Amalie",F,1866-08-04,1866,infant,20 August 1866,,https://history.churchofjesuschrist.org/chd/individual/amalie-fredriksen-1866
10,Right,44,KX4P-973,"Freeman, Elizabeth Anna",F,1862-01-18,1862,infant,19 August 1862,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-anna-freeman-1862
9,Center,17,L4N5-H7Z,"Gaarder, Nephi",M,1860-07-31,1860,infant,22 August 1860,,https://history.churchofjesuschrist.org/chd/individual/infant-gunder
6,Right,37,KWVR-QRT,"Gadd, Daniel Chapman",M,1854-09-25,1856,1,4 October 1856,,https://history.churchofjesuschrist.org/chd/individual/daniel-chapman-gadd-1854
13,Left,7,M7Q1-TL4,"Galliers, Jesse",M,1862-12-22,1864,infant,1864,,https://history.churchofjesuschrist.org/chd/individual/jesse-galliers-1862
13,Left,8,2Z3X-M6Y,"Gange, Edward Lorenzo",M,1862-06-06,1864,1,12 August 1864,,https://history.churchofjesuschrist.org/chd/individual/edward-lorenzo-gange-1862
13,Left,9,L78K-6VN,"Gange, William Henry",M,1855-05-05,1864,8,22 August 1864,,https://history.churchofjesuschrist.org/chd/individual/william-henry-gange-1855
4,Left,12,L1Q9-RXD,"Gardiner, NN",M,1854-08-17,1854,infant,29 August 1854,,https://history.churchofjesuschrist.org/chd/individual/infant-gardiner-1854
3,Right,23,KLBB-RHM,"Gardner, George Alma",M,1840-06-07,1852,11,27 July 1852,,https://history.churchofjesuschrist.org/chd/individual/george-alma-gardner-1840
1,Right,33,KWJB-47X,"Gardner, Robert Rierson",M,1841-12-31,1847,5,13 August 1847,,https://history.churchofjesuschrist.org/chd/individual/robert-rierson-gardner-1841
8,Center,7,LH3G-ZLK,"Garff, Josephine Patrine",F,1855-04-05,1857,2,August 1857,,https://history.churchofjesuschrist.org/chd/individual/josephine-patrine-garff-1855
14,Right,41,KHNC-LVY,"Garner, Elizabeth",F,1852-04-22,1866,14,25 July 1866,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-garner-1852
10,Right,45,KWVL-YMG,"Gedge, Leah",F,1860-08-27,1862,1,13 August 1862,,https://history.churchofjesuschrist.org/chd/individual/leah-gedge-1860
10,Right,46,KWVL-Y97,"Gedge, Lois",F,1862-08-01,1862,infant,30 August 1862,,https://history.churchofjesuschrist.org/chd/individual/lois-gedge-1862
11,Right,23,KWVL-Y99,"Gedge, Mary",F,1862-08-01,1862,infant,30 August 1862,,https://history.churchofjesuschrist.org/chd/individual/mary-gedge-1862
13,Left,10,KWVP-GTF,"Geertsen, George Peder",M,1863-05-29,1864,infant,4 July 1864,,https://history.churchofjesuschrist.org/chd/individual/george-peder-geertsen-1863
13,Left,11,G7RX-BBX,"George, John H. ",M,About 1864,1864,infant,10 August 1864,,https://history.churchofjesuschrist.org/chd/individual/john-h-george-1864
4,Right,36,2WJ8-H4K,"Gibson, Catherine McFarlane",F,June 1851,1853,1,5 July 1853,,https://history.churchofjesuschrist.org/chd/individual/catherine-mcfarlane-gibson-1851
6,Right,38,KJWZ-BV4,"Giles, Elizabeth",F,September 1856,1856,infant,October 1856,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-giles-1856
10,Left,8,LTYD-RPS,"Glade, William Franklin",M,July 1861,1861,infant,1861,"May not have died on trail. ""Company Unknown."" No records associated with William Glade.",https://history.churchofjesuschrist.org/chd/individual/william-franklin-glade-1861
12,Left,2,KZDL-PNQ,"Glenn, John",M,1860-08-29,1863,2,About 1863,May not have died on trail. Date of death is not confirmed.,https://history.churchofjesuschrist.org/chd/individual/john-glenn-1860
6,Right,39,KWVG-Q6R,"Goble, Edith",F,1856-09-23,1856,infant,3 November 1856,,https://history.churchofjesuschrist.org/chd/individual/edith-goble-1856
6,Left,1,KWJ8-T17,"Goble, James",M,1852-03-25,1856,4,2 October 1856,,https://history.churchofjesuschrist.org/chd/individual/james-goble-1852
3,Right,24,LHKZ-QNL,"Goddard, George Harrison",M,1840-09-28,1852,11,19 July 1852,,https://history.churchofjesuschrist.org/chd/individual/george-harrison-goddard-1840
3,Right,25,KWV7-1Q7,"Goddard, Henry",M,1849-01-10,1852,3,11 July 1852,,https://history.churchofjesuschrist.org/chd/individual/henry-goddard-1849
12,Left,3,LLQ6-2NQ,"Gordon, Elizabeth",F,1861-02-24,1863,2,17 July 1863,"May not have died on trail. ""Company Unknown."" No records associated.",https://history.churchofjesuschrist.org/chd/individual/elizabeth-gordon-1861
1,Right,41,KCQV-LKB,"Gordon, Joseph",M,About 1846,1848,1,1848,"May not have died on trail. ""Company Unknown."" Not listed as having died en route in the database. records associated.",https://history.churchofjesuschrist.org/chd/individual/joseph-gordon-1846
8,Center,8,KWVZ-X8R,"Gottfredson, Platine Plattina",F,1857-07-17,1857,infant,20 July 1857,,https://history.churchofjesuschrist.org/chd/individual/platine-plattina-gottfredson-1857
6,Left,2,LZKS-WBN,"Gourley, Margaret Glass",F,1856-01-10,1856,infant,14 August 1856,,https://history.churchofjesuschrist.org/chd/individual/margaret-glass-gourley-1856
12,Left,4,KH83-Y23,"Graham, Alice Jackson",F,1862-06-06,1863,1,September 1863,,https://history.churchofjesuschrist.org/chd/individual/alice-jackson-graham-1862
14,Right,42,KZG4-1QT,"Grant, Lizzie",F,1863-10-25,1866,2,13 August 1866,,https://history.churchofjesuschrist.org/chd/individual/lizzie-b-grant-1863
1,Right,34,LH26-M85,"Grant, Margaret S. ",F,1847-05-19,1847,infant,3 September 1847,,https://history.churchofjesuschrist.org/chd/individual/margaret-s-grant-1847
5,Right,27,KWVG-H1M,"Graves, Sarah Elizabeth",F,1843-06-24,1855,12,6 August 1855,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-sarah-graves-1843
8,Center,9,K2QF-M5L,"Green, Emmaretta Eliza",F,1855-04-23,1857,2,1857,,https://history.churchofjesuschrist.org/chd/individual/emmaretta-eliza-green-1855
1,Left,2,LRS8-CPW,"Green, Jane",F,1834-07-30,1850,15,30 June 1850,,https://history.churchofjesuschrist.org/chd/individual/jane-green-1834
1,Left,3,KLS9-3NR,"Green, Joseph Nephi",M,About 1849,1850,1,1 July 1850,,https://history.churchofjesuschrist.org/chd/individual/joseph-nephi-green-1849
5,Right,28,LKNY-XD6,"Greer, Ira Abner",M,1840-06-14,1855,15,23 June 1855,,https://history.churchofjesuschrist.org/chd/individual/ira-abner-greer-1840
5,Right,29,LZDP-183,"Greer, John Irvine",M,1844-06-13,1855,11,23 June 1855,,https://history.churchofjesuschrist.org/chd/individual/john-irvine-greer-1844
6,Left,3,KWVP-6SJ,"Griffiths, Herbert Lorenzo",M,1851-01-10,1856,5,22 November 1856,,https://history.churchofjesuschrist.org/chd/individual/herbert-lorenzo-griffiths-1851
6,Left,4,KWJH-VST,"Griffiths, John",M,1845-02-05,1856,11,20 November 1856,,https://history.churchofjesuschrist.org/chd/individual/john-griffiths-jr-1845
9,Center,2,KWVQ-2X5,"Griffiths, Josephine",F,1859-02-19,1859,infant,2 August 1859,,https://history.churchofjesuschrist.org/chd/individual/josephine-griffiths-1859
13,Left,12,KWVG-KJ1,"Groneman, Gjertrud Catherine",F,1863-03-13,1864,1,July 1864,May not have died on trail. No exact date of death. May have died before the company left Nebraska on 25 July. ,https://history.churchofjesuschrist.org/chd/individual/gjertrud-catherine-groneman-1863
12,Left,5,LZF9-23Z,"Gulbrandsen, Bernhard",M,1857-01-01,1863,9,1863,,https://history.churchofjesuschrist.org/chd/individual/bernhardt-gulbrandsen-1857
9,Center,18,KWVQ-DND,"Gunn, Amelia Mary Ann",F,1858-01-10,1860,2,10 July 1860,,https://history.churchofjesuschrist.org/chd/individual/amelia-mary-ann-gunn-1858
14,Right,43,KWVG-XQP,"Haderlie, Anna",F,October 1860,1866,5,25 August 1866,,https://history.churchofjesuschrist.org/chd/individual/anna-haderlie-1860
14,Right,44,KWVG-XQ2,"Haderlie, Caroline",F,1866-05-23,1866,infant,20 August 1866,,https://history.churchofjesuschrist.org/chd/individual/caroline-haderlie-1866
3,Right,26,KWVR-K5C,"Hall, Eliza Melissa",F,1852-06-30,1852,infant,21 July 1852,,https://history.churchofjesuschrist.org/chd/individual/eliza-melissa-hall-1852
11,Right,24,KWJC-8VT,"Hall, Ephraim Joseph",M,1848-08-05,1862,14,13 October 1862,,https://history.churchofjesuschrist.org/chd/individual/ephraim-joseph-hall-1848
11,Right,25,K4G6-KJP,"Hammond, David",M,1862-09-21,1862,infant,23 September 1862,,https://history.churchofjesuschrist.org/chd/individual/david-hammond-1862
11,Right,26,K414-QFG,"Hammond, Sarah",F,1860-08-08,1862,1,11 August 1862,,https://history.churchofjesuschrist.org/chd/individual/sarah-hammond-1860
4,Right,37,KWVQ-4S1,"Handley, Louis",M,1853-08-28,1853,infant,28 August 1853,,https://history.churchofjesuschrist.org/chd/individual/louis-handley-1853
14,Right,45,KWV5-Z42,"Hansen, Alfred Leonard",M,1864-04-05,1866,2,July 1866,DID NOT DIE ON TRAIL. Died before the company left on 7 August. His profile has been removed from the database. ,Not in BioDB
14,Right,46,L6YS-KRD,"Hansen, Andreas Marius Smith",M,1864-03-04,1866,2,1 September 1866,,https://history.churchofjesuschrist.org/chd/individual/andreas-marius-smith-hansen-1864
15,Right,28,KWVG-LGX,"Hansen, Hans",M,1861-12-13,1868,6,September 1868,No sources. ,https://history.churchofjesuschrist.org/chd/individual/hans-hansen-1861
14,Right,47,KWVL-1NK,"Hansen, Hans Johan",M,1855-09-17,1866,10,21 September 1866,,https://history.churchofjesuschrist.org/chd/individual/hans-johan-hansen-1855
11,Right,27,KWVG-7KX,"Hansen, Hans Peder",M,,,,,"DID NOT DIE ON TRAIL. Died either at sea or in Florence, Nebraska. There is some debate as to the actual location. Because died before his family left with a company for Utah, he was removed from the database. ",Not in BioDB
11,Right,28,KWJL-9GG,"Hansen, Hans Peter Brigham",M,1861-12-26,1862,infant,27 July 1862,,https://history.churchofjesuschrist.org/chd/individual/hans-peter-brigham-hansen-1861
12,Left,6,KWVP-49C,"Hansen, Johannes",M,1862-06-18,1863,1,8 July 1863,,https://history.churchofjesuschrist.org/chd/individual/johannes-hansen-1862
11,Right,29,KWJJ-V87,"Hansen, Josephine Marie",F,1859-02-11,1862,3,6 July 1862,,https://history.churchofjesuschrist.org/chd/individual/josephine-marie-hansen-1859
14,Right,48,KWVC-HSL,"Hansen, Mads Jorgen",M,1860-03-07,1866,6,12 August 1866,,https://history.churchofjesuschrist.org/chd/individual/mads-jorgen-hansen-1860
15,Right,29,KWVG-LGC,"Hansen, Maren",F,1864-11-03,1868,3,September 1868,,https://history.churchofjesuschrist.org/chd/individual/maren-hansen-1864
10,Left,9,KWVR-GS4,"Hansen, Marie",F,1860-11-02,1861,infant,2 September 1861,"DID NOT DIE ON TRAIL. She died in American Fork, Utah. ",https://history.churchofjesuschrist.org/chd/individual/marie-hansen-1860
14,Right,49,K2HQ-P6N,"Hansen, Niels Anthon",M,1857-09-23,1866,8,27 August 1866,,https://history.churchofjesuschrist.org/chd/individual/niels-anthon-hansen-1857
14,Right,50,KWVP-VYQ,"Hansen, Niels Peter William",M,1863-05-18,1866,3,August 1866,,https://history.churchofjesuschrist.org/chd/individual/niels-peter-william-hansen-1863
11,Right,30,KWVG-7K1,"Hansen, Peter",M,1862-08-30,1862,infant,23 September 1862,"May not have died on trail. More research is needed to confirm when and where he died. According to FamilySearch, he died near Echo Canyon, Utah. FS also shows that he is buried in Salt Lake City. He is listed in ""Company Unknown"" so we don't know the exact dates of his family's journey to Utah. If he is buried in Salt Lake City, it is likely that he will be removed from the database. ",https://history.churchofjesuschrist.org/chd/individual/peter-hansen-1862
6,Left,5,L71G-WH3,"Hansen, Rasmus Peter",M,1839-12-21,1856,16,6 November 1856,,https://history.churchofjesuschrist.org/chd/individual/rasmus-peter-hansen-1839
1,Left,4,KWVP-DHJ,"Hardy, Caroline Mathilda",F,1848-01-01,1850,2,3 July 1850,,https://history.churchofjesuschrist.org/chd/individual/caroline-matilda-hardy-1848
1,Left,5,KLVM-Y7D,"Hart, Adelia",F,1839-04-15,1850,11,2 July 1850,,https://history.churchofjesuschrist.org/chd/individual/adelia-hart-1839
6,Left,6,KND9-FZC,"Hartle, Ephraim",M,March 1856,1856,infant,6 October 1856,,https://history.churchofjesuschrist.org/chd/individual/ephraim-hartle-1856
6,Left,7,L7F2-Z7C,"Hartle, Samuel",M,February 1850,1856,6,1856,"No exact date of death, but was a member of the Martin company. ",https://history.churchofjesuschrist.org/chd/individual/samuel-hartle-1850
6,Left,8,KWJH-VP1,"Hawkey, James",M,1841-12-06,1856,14,18 October 1856,,https://history.churchofjesuschrist.org/chd/individual/james-hawkey-1841
13,Left,13,KWVG-Z68,"Haynes, Edwin",M,1863-07-21,1864,1,8 September 1864,,https://history.churchofjesuschrist.org/chd/individual/edwin-haynes-1863
12,Left,7,KWVW-7QT,"Haynes, Ellen",F,1862-03-29,1863,1,21 September 1863,,https://history.churchofjesuschrist.org/chd/individual/ellen-haynes-1862
11,Right,31,KWVG-SHW,"Healey, Elizabeth Ann",F,1861-04-11,1862,1,7 August 1862,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-ann-healey-1861
6,Left,9,LCZD-M2F,"Heaton, William McDonald",M,1855-09-13,1856,infant,26 September 1856,,https://history.churchofjesuschrist.org/chd/individual/william-mcdonald-heaton-1855
13,Left,14,M7V4-XH8,"Hellstrom, Anna Johansson",F,1861-06-19,1864,3,1864,"May not have died on trail. Death date is based on family tradition and not verified with documentation. If it is determined that she did not die on the trail, it is likely that her profile will be removed from the database. ",https://history.churchofjesuschrist.org/chd/individual/anna-johansson-hellstrom-1861
10,Left,10,LXMY-MZK,"Hill, Emma",F,1861-01-01,1861,infant,12 July 1861,,https://history.churchofjesuschrist.org/chd/individual/emma-hill-1861
10,Left,11,KWJX-YJN,"Hill, Heber Jesse",M,1859-07-08,1861,1,10 July 1861,,https://history.churchofjesuschrist.org/chd/individual/heber-jesse-hill-1859
14,Right,51,KWV7-TW4,"Hodgson, Annice Hubaldina",F,1866-06-23,1866,infant,28 July 1866,,https://history.churchofjesuschrist.org/chd/individual/annice-hubaldina-hodgson-1866
14,Right,52,KWV7-TW8,"Hodgson, John Arkwright",M,1866-06-23,1866,infant,1 August 1866,,https://history.churchofjesuschrist.org/chd/individual/john-arkwright-hodgson-1866
1,Right,35,G9TT-GJH,"Holmes, NN",,Unknown,1847,Unknown,11 July 1847,,https://history.churchofjesuschrist.org/chd/individual/child-holmes
10,Left,12,KWVC-JDK,"Holroyd, Elizabeth",F,1859-08-17,1861,1,6 September 1861,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-holroyd-1859
14,Right,53,LZVM-DWY,"Holt, Mary Agnes",F,1859-10-03,1866,6,28 July 1866,,https://history.churchofjesuschrist.org/chd/individual/mary-agnes-holt-1859
12,Left,8,KWCJ-RF4,"Holt, Rosa Ann",F,1863-08-31,1863,infant,1938-04-01,DID NOT DIE ON TRAIL. Her death date was incorrectly entered into the database. ,https://history.churchofjesuschrist.org/chd/individual/rosa-ann-holt-1863
9,Center,3,K63P-F2D,"Hopla, Joseph Edwards",M,1859-06-29,1859,infant,8 August 1859,A different death date is listed on Family Search. ,https://history.churchofjesuschrist.org/chd/individual/joseph-edwards-hopla-1859
10,Left,13,LYMS-LY5,"Horrox, James",M,Unknown,1861,Unknown,6 September 1861,,https://history.churchofjesuschrist.org/chd/individual/james-horrox
13,Left,15,KWJX-B3Q,"Howard, Matilda",F,1859-02-20,1864,5,20 August 1864,,https://history.churchofjesuschrist.org/chd/individual/matilda-howard-1859
13,Left,16,KWVL-RXS,"Howard, Tamar",F,1861-06-11,1864,3,10 August 1864,,https://history.churchofjesuschrist.org/chd/individual/tamar-howard-1861
15,Right,30,KWJ4-7Q2,"Howarth, Alice",F,1865-01-04,1868,3,27 August 1868,,https://history.churchofjesuschrist.org/chd/individual/alice-howarth-1865
3,Right,27,LLQX-X87,"Howell, Harriet Moriah",F,1839-06-08,1852,12,18 July 1852,,https://history.churchofjesuschrist.org/chd/individual/harriet-moriah-howell-1839
3,Right,28,KNYK-YYY,"Howell, William",M,1843-04-19,1852,9,1 June 1852,,https://history.churchofjesuschrist.org/chd/individual/william-howell-1843
10,Left,14,KHVR-85S,"Hughes, Annie Lloyd",F,1859-12-04,1861,1,3 September 1861,No documents confirming date of death. ,https://history.churchofjesuschrist.org/chd/individual/annie-lloyd-hughes-1859
11,Right,32,KWVP-NGS,"Hulse, Amelia Emma",F,1860-07-28,1862,2,12 October 1862,,https://history.churchofjesuschrist.org/chd/individual/amelia-emma-hulse-1860
3,Right,29,KWVP-37T,"Hunt, Alfred",M,1847-03-21,1852,5,11 July 1852,,https://history.churchofjesuschrist.org/chd/individual/alfred-hunt-1847
6,Left,10,LL9Z-5PX,"Hurren, Selena",F,1856-07-14,1856,infant,29 July 1856,,https://history.churchofjesuschrist.org/chd/individual/selena-hurren-1856
14,Right,54,KWVP-4MP,"Husted, Axel Hyrum",M,1865-04-08,1866,1,4 September 1866,,https://history.churchofjesuschrist.org/chd/individual/axel-hyrum-husted-1865
13,Left,17,KWVP-8Z8,"Hutchison, George",M,1864-06-12,1864,infant,18 September 1864,,https://history.churchofjesuschrist.org/chd/individual/george-b-mcclellan-hutchison-1864
5,Right,30,LK85-RY4,"Hutchison, Joseph",M,1855-07-20,1855,infant,30 July 1855,,https://history.churchofjesuschrist.org/chd/individual/joseph-hutchison-1855
4,Right,38,K2WR-YFP,"Imlay, Rachael",F,1851-09-09,1853,1,23 June 1853,"May not have died on trail. ""Company Unknown."" May have died before the company left or after reaching Utah. Her death date is recorded in the West Jordan Ward record of members. ",https://history.churchofjesuschrist.org/chd/individual/rachel-imlay-1851
5,Right,31,KZ48-Y19,"Irvine, Lorenzo",M,About 1852,1855,3,1855,"May not have died on trail. FamilySearch suggests he died on 31 May 1855. There is no documentation to confirm that date. The company left in August 1855, so if it is determined that he died in May, his profile will be removed from the database. ",https://history.churchofjesuschrist.org/chd/individual/lorenzo-irvine-1852
9,Center,19,KWV5-MY8,"Isaac, Thomas John",M,1860-06-04,1860,infant,15 August 1860,,https://history.churchofjesuschrist.org/chd/individual/thomas-john-isaac-1860
10,Left,15,KWVQ-3YB,"Isaacson, Lorenzo",M,1859-10-18,1861,1,10 August 1861,,https://history.churchofjesuschrist.org/chd/individual/lorenzo-isaacson-1859
10,Left,16,KWVQ-3BM,"Isaacson, Petra Annetta",F,1854-10-21,1861,6,6 July 1861,,https://history.churchofjesuschrist.org/chd/individual/petra-annetta-isaacson-1854
13,Left,18,KWVM-RKK,"Israelson, Israel",M,1862-03-11,1864,1,6 October 1864,,https://history.churchofjesuschrist.org/chd/individual/israel-israelsen-1862
15,Right,13,KH1R-7GH,"Iversen, Lonnie",F,1867-01-01,1867,infant,1867,"May not have died on trail. ""Company Unknown."" Missing sources. Database suggests this child was female. FS says male. ",https://history.churchofjesuschrist.org/chd/individual/lonnie-iverson-1867
14,Right,55,27YL-39J,"Iversen, Ragna Olivia",F,1849-12-08,1866,16,11 September 1866,,https://history.churchofjesuschrist.org/chd/individual/ragna-olivia-iversen-1849
3,Right,30,M9XJ-7DQ,"Jackson, Huldah",F,About 1840,1852,12,10 August 1852,,https://history.churchofjesuschrist.org/chd/individual/huldah-jackson-1840
15,Right,31,L4QF-Y72,"Jackson, Jane",F,1868-01-01,1868,infant,1868,,https://history.churchofjesuschrist.org/chd/individual/jane-jackson-1868
15,Right,32,GMHD-DQJ,"Jackson, Mary",F,1868-01-01,1868,infant,1868,,https://history.churchofjesuschrist.org/chd/individual/mary-jackson-1868
1,Right,42,KWVQ-ZDH,"Jacob, Oliver Bar ",M,1834-01-05,1848,14,14 August 1848,,https://history.churchofjesuschrist.org/chd/individual/oliver-bar-jacob-1834
11,Right,33,KWVG-7BZ,"Jacob, Surge Louie",M,1862-09-20,1862,infant,21 September 1862,,https://history.churchofjesuschrist.org/chd/individual/surge-louie-jacob-1862
12,Left,9,KWJF-QGF,"Jacobsen, Everine Lorena",F,1862-06-21,1863,1,16 September 1863,,https://history.churchofjesuschrist.org/chd/individual/everine-lorena-jacobsen-1862
15,Right,33,K2WT-C8J,"Jacobsen, John Christian",M,1865-06-07,1868,3,1868,,https://history.churchofjesuschrist.org/chd/individual/john-christian-jacobsen-1865
6,Left,11,KWVH-R5M,"Jaques, Flora Loader",F,1854-09-10,1856,1,22 November 1856,,https://history.churchofjesuschrist.org/chd/individual/flora-loader-jaques-1854
12,Left,10,KWJ6-JYQ,"Jenkins, Agnes",F,1862-10-10,1863,infant,27 August 1863,,https://history.churchofjesuschrist.org/chd/individual/agnes-jenkins-1862
9,Center,20,MJ5T-217,"Jensen, Ane Christine",F,1859-08-17,1860,infant,21 July 1860,,https://history.churchofjesuschrist.org/chd/individual/ane-christine-jensen-1859
14,Right,56,MB7H-LXY,"Jensen, Elizabeth",F,About 1853,1866,13,15 August 1866,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-jensen-1853
8,Center,10,L6V9-NH5,"Jensen, Hans",M,1848-06-27,1857,8,11 July 1857,,https://history.churchofjesuschrist.org/chd/individual/hans-jensen-1848
12,Left,11,LL99-MVK,"Jensen, Hans Peter",M,1860-09-20,1863,2,13 July 1863,"May not have died on trail. ""Company Unknown."" No sources to confirm his date or place of death. ",https://history.churchofjesuschrist.org/chd/individual/hans-peter-jensen-1860
15,Right,14,MQR3-7W2,"Jensen, Jensine",F,1863-09-25,1867,3,10 September 1867,,https://history.churchofjesuschrist.org/chd/individual/jensina-jensen-1863
12,Left,12,KFTZ-51M,"Jensen, Johanna Maria",F,1860-06-10,1863,3,20 July 1863,,https://history.churchofjesuschrist.org/chd/individual/johanna-maria-jensen-1860
12,Left,13,KWVC-37L,"Jensen, Josephine",F,1862-11-05,1863,infant,13 August 1863,,https://history.churchofjesuschrist.org/chd/individual/josephine-jensen-1862
15,Left,1,G7RJ-4R8,"Jensen, Karen",F,About 1852,1868,About 16,13 October 1868 ,,https://history.churchofjesuschrist.org/chd/individual/karen-jensen-1852
9,Center,4,KHZG-XNZ,"Jensen, Maren",F,1846-03-29,1859,13,Unknown,"May not have died on trail. She may have died at sea or, possibly, after reaching Utah. No exact death date. ",https://history.churchofjesuschrist.org/chd/individual/maren-jensen-1846
15,Left,2,G7RV-XKC,"Jensen, Margaret ",F,About 1852,1868,About 16,9 October 1868,,https://history.churchofjesuschrist.org/chd/individual/margaret-jensen-1852
8,Center,11,LH5B-HBB,"Jensen, Maria Sophia",F,1856-04-11,1857,1,31 August 1857,,https://history.churchofjesuschrist.org/chd/individual/sophie-maren-jensen-1856
4,Left,13,2SNM-BHS,"Jensen, Mette Maria",F,1838-06-18,1854,15,1854,May not have died en route. Death date not confirmed. May have died before company left or after reaching Utah. ,https://history.churchofjesuschrist.org/chd/individual/mette-maria-jensen-1838
12,Left,14,KPS6-9L5,"Jensen, Mette Marie",F,1858-03-22,1862,4,1922-03-24,"DID NOT DIE ON TRAIL. Her name was ""Mette Marie Lydesen."" ",https://history.churchofjesuschrist.org/chd/individual/mette-marie-lydesen-1858
14,Right,57,MM9Y-7YM,"Jenson, Jens Severin",M,1860-05-22,1866,6,15 August 1866,,https://history.churchofjesuschrist.org/chd/individual/jens-severin-jensen-1860
13,Left,19,KWVH-1WD,"Jenson, Nils",M,1862-12-23,1864,1,16 October 1864,DID NOT DIE ON TRAIL. Died in Utah and is buried in Fountain Green. ,https://history.churchofjesuschrist.org/chd/individual/nils-jenson-1862
15,Right,15,KG7V-W5M,"Johansen, Annie Ball Marie",F,1862-08-10,1867,5,2 September 1867,,https://history.churchofjesuschrist.org/chd/individual/annie-ball-marie-johansen-1862
15,Left,3,G7RK-V88,"Johansen, Lars",M,About 1858,1868,9,11 October 1868,,https://history.churchofjesuschrist.org/chd/individual/lars-johansen-1858
10,Right,17,LHFJ-XMX,"John, Annie Jane",F,1860-12-15,1861,infant,20 August 1861,,https://history.churchofjesuschrist.org/chd/individual/annie-jane-john-1860
9,Center,5,KWVG-KGY,"Johnson, Anna",F,1858-01-01,1859,infant,1859,,https://history.churchofjesuschrist.org/chd/individual/anna-johnson-1858
